Series,Type,Year,Group,Value,Stdev,Scale
bts_bootstrap,absolute,1982,AK.Plaice,705243.9971,62945.61841,2.14E-06
bts_bootstrap,absolute,1983,AK.Plaice,641365.1902,56721.91115,2.14E-06
bts_bootstrap,absolute,1984,AK.Plaice,757328.3208,109806.0327,2.14E-06
bts_bootstrap,absolute,1985,AK.Plaice,570657.8743,58797.20921,2.14E-06
bts_bootstrap,absolute,1986,AK.Plaice,539941.841,61128.57895,2.14E-06
bts_bootstrap,absolute,1987,AK.Plaice,539362.5201,54300.04552,2.14E-06
bts_bootstrap,absolute,1988,AK.Plaice,671226.7635,136901.2446,2.14E-06
bts_bootstrap,absolute,1989,AK.Plaice,504563.6348,55173.15502,2.14E-06
bts_bootstrap,absolute,1990,AK.Plaice,487337.3987,45279.50543,2.14E-06
bts_bootstrap,absolute,1991,AK.Plaice,521162.9005,48826.01224,2.14E-06
bts_bootstrap,absolute,1992,AK.Plaice,509267.1185,54430.5082,2.14E-06
bts_bootstrap,absolute,1993,AK.Plaice,508020.7496,49213.95458,2.14E-06
bts_bootstrap,absolute,1994,AK.Plaice,613545.279,52188.88956,2.14E-06
bts_bootstrap,absolute,1995,AK.Plaice,544055.7187,61012.1638,2.14E-06
bts_bootstrap,absolute,1996,AK.Plaice,521727.3698,65498.30086,2.14E-06
bts_bootstrap,absolute,1997,AK.Plaice,625269.283,69754.62748,2.14E-06
bts_bootstrap,absolute,1998,AK.Plaice,446495.1031,57529.49133,2.14E-06
bts_bootstrap,absolute,1999,AK.Plaice,471610.7651,38972.48798,2.14E-06
bts_bootstrap,absolute,2000,AK.Plaice,437403.6798,65594.89819,2.14E-06
bts_bootstrap,absolute,2001,AK.Plaice,533491.2643,66049.12044,2.14E-06
bts_bootstrap,absolute,2002,AK.Plaice,416699.7369,51910.35668,2.14E-06
bts_bootstrap,absolute,2003,AK.Plaice,450934.1583,92646.53159,2.14E-06
bts_bootstrap,absolute,2004,AK.Plaice,468685.8419,61584.54245,2.14E-06
bts_bootstrap,absolute,2005,AK.Plaice,488104.2729,54602.33117,2.14E-06
bts_bootstrap,absolute,2006,AK.Plaice,627148.7587,80021.47667,2.14E-06
bts_bootstrap,absolute,2007,AK.Plaice,415686.9,36233.64246,2.14E-06
bts_bootstrap,absolute,2008,AK.Plaice,500742.4139,45855.54426,2.14E-06
bts_bootstrap,absolute,2009,AK.Plaice,521759.0584,49108.1057,2.14E-06
bts_bootstrap,absolute,2010,AK.Plaice,489723.8536,45358.26997,2.14E-06
bts_bootstrap,absolute,2011,AK.Plaice,511695.9819,70425.69307,2.14E-06
bts_bootstrap,absolute,2012,AK.Plaice,572526.3037,81916.01328,2.14E-06
bts_bootstrap,absolute,2013,AK.Plaice,497194.307,63887.68815,2.14E-06
bts_bootstrap,absolute,2014,AK.Plaice,442418.6484,47561.47696,2.14E-06
bts_bootstrap,absolute,2015,AK.Plaice,349351.9311,37693.3667,2.14E-06
bts_bootstrap,absolute,2016,AK.Plaice,417066.0831,40149.31201,2.14E-06
bts_bootstrap,absolute,2017,AK.Plaice,483518.6322,51003.05403,2.14E-06
bts_bootstrap,absolute,2018,AK.Plaice,408633.6044,36119.93923,2.14E-06
bts_bootstrap,absolute,2019,AK.Plaice,352975.6732,28140.34302,2.14E-06
bts_bootstrap,absolute,1982,Arrowtooth_Adu,119953.8532,12919.18216,2.14E-06
bts_bootstrap,absolute,1983,Arrowtooth_Adu,175307.0018,16198.54963,2.14E-06
bts_bootstrap,absolute,1984,Arrowtooth_Adu,275163.9522,37432.51668,2.14E-06
bts_bootstrap,absolute,1985,Arrowtooth_Adu,280522.502,24928.05074,2.14E-06
bts_bootstrap,absolute,1986,Arrowtooth_Adu,381991.235,40323.50105,2.14E-06
bts_bootstrap,absolute,1987,Arrowtooth_Adu,484198.4452,33851.36176,2.14E-06
bts_bootstrap,absolute,1988,Arrowtooth_Adu,505986.4842,59089.92647,2.14E-06
bts_bootstrap,absolute,1989,Arrowtooth_Adu,579398.1707,59620.32711,2.14E-06
bts_bootstrap,absolute,1990,Arrowtooth_Adu,689374.1517,61121.4862,2.14E-06
bts_bootstrap,absolute,1991,Arrowtooth_Adu,500342.93,62647.42295,2.14E-06
bts_bootstrap,absolute,1992,Arrowtooth_Adu,592313.0263,82566.04054,2.14E-06
bts_bootstrap,absolute,1993,Arrowtooth_Adu,769878.4541,71811.18694,2.14E-06
bts_bootstrap,absolute,1994,Arrowtooth_Adu,815478.5,79406.48672,2.14E-06
bts_bootstrap,absolute,1995,Arrowtooth_Adu,775118.5276,109360.688,2.14E-06
bts_bootstrap,absolute,1996,Arrowtooth_Adu,912887.4043,93707.96294,2.14E-06
bts_bootstrap,absolute,1997,Arrowtooth_Adu,787258.1628,100641.3408,2.14E-06
bts_bootstrap,absolute,1998,Arrowtooth_Adu,591714.2995,66252.83969,2.14E-06
bts_bootstrap,absolute,1999,Arrowtooth_Adu,419100.3429,108525.6327,2.14E-06
bts_bootstrap,absolute,2000,Arrowtooth_Adu,546980.1621,92892.66047,2.14E-06
bts_bootstrap,absolute,2001,Arrowtooth_Adu,648371.4911,59480.1397,2.14E-06
bts_bootstrap,absolute,2002,Arrowtooth_Adu,536285.9483,50187.03725,2.14E-06
bts_bootstrap,absolute,2003,Arrowtooth_Adu,853650.7697,74817.19779,2.14E-06
bts_bootstrap,absolute,2004,Arrowtooth_Adu,888825.7588,64924.82653,2.14E-06
bts_bootstrap,absolute,2005,Arrowtooth_Adu,1122684.426,79955.59986,2.14E-06
bts_bootstrap,absolute,2006,Arrowtooth_Adu,1042264.843,78208.8818,2.14E-06
bts_bootstrap,absolute,2007,Arrowtooth_Adu,826409.0701,64336.78388,2.14E-06
bts_bootstrap,absolute,2008,Arrowtooth_Adu,907359.2091,77603.43471,2.14E-06
bts_bootstrap,absolute,2009,Arrowtooth_Adu,696248.9683,67593.18838,2.14E-06
bts_bootstrap,absolute,2010,Arrowtooth_Adu,898978.854,74293.56745,2.14E-06
bts_bootstrap,absolute,2011,Arrowtooth_Adu,893616.2482,67975.95444,2.14E-06
bts_bootstrap,absolute,2012,Arrowtooth_Adu,689381.2279,72630.20522,2.14E-06
bts_bootstrap,absolute,2013,Arrowtooth_Adu,692823.7971,61755.72653,2.14E-06
bts_bootstrap,absolute,2014,Arrowtooth_Adu,797907.4348,54577.08897,2.14E-06
bts_bootstrap,absolute,2015,Arrowtooth_Adu,701389.6844,42512.53101,2.14E-06
bts_bootstrap,absolute,2016,Arrowtooth_Adu,807987.8281,39030.98935,2.14E-06
bts_bootstrap,absolute,2017,Arrowtooth_Adu,708964.1484,46980.88863,2.14E-06
bts_bootstrap,absolute,2018,Arrowtooth_Adu,845534.3372,59821.09992,2.14E-06
bts_bootstrap,absolute,2019,Arrowtooth_Adu,978057.0341,65077.17921,2.14E-06
bts_bootstrap,absolute,1982,Atka.mackerel,4932.948119,3793.545174,2.14E-06
bts_bootstrap,absolute,1983,Atka.mackerel,56530.92164,37967.93448,2.14E-06
bts_bootstrap,absolute,1984,Atka.mackerel,70253.24043,53432.15667,2.14E-06
bts_bootstrap,absolute,1985,Atka.mackerel,13094.68712,12932.11664,2.14E-06
bts_bootstrap,absolute,1986,Atka.mackerel,28125.22614,15854.57959,2.14E-06
bts_bootstrap,absolute,1987,Atka.mackerel,0,0,2.14E-06
bts_bootstrap,absolute,1988,Atka.mackerel,39789.544,39439.69954,2.14E-06
bts_bootstrap,absolute,1989,Atka.mackerel,7610.518294,5297.751039,2.14E-06
bts_bootstrap,absolute,1990,Atka.mackerel,51717.16627,44560.20654,2.14E-06
bts_bootstrap,absolute,1991,Atka.mackerel,53891.9962,37370.48363,2.14E-06
bts_bootstrap,absolute,1992,Atka.mackerel,40338.04265,29014.6796,2.14E-06
bts_bootstrap,absolute,1993,Atka.mackerel,6727.305843,6708.148046,2.14E-06
bts_bootstrap,absolute,1994,Atka.mackerel,19255.3536,18815.55308,2.14E-06
bts_bootstrap,absolute,1995,Atka.mackerel,97609.65803,95366.73895,2.14E-06
bts_bootstrap,absolute,1996,Atka.mackerel,0,0,2.14E-06
bts_bootstrap,absolute,1997,Atka.mackerel,81834.4034,54949.65422,2.14E-06
bts_bootstrap,absolute,1998,Atka.mackerel,35459.97234,35349.82132,2.14E-06
