"Series","Type","Year","Group","Value","Stdev","Scale"
"EBS_ACLIM_72_BIO_catch_2017","catch","1971","Outside",NA,NA,2.14e-06
"EBS_ACLIM_72_BIO_catch_2017","catch","1972","Outside",NA,NA,2.14e-06
"EBS_ACLIM_72_BIO_catch_2017","catch","1973","Outside",NA,NA,2.14e-06
"EBS_ACLIM_72_BIO_catch_2017","catch","1974","Outside",NA,NA,2.14e-06
"EBS_ACLIM_72_BIO_catch_2017","catch","1975","Outside",NA,NA,2.14e-06
"EBS_ACLIM_72_BIO_catch_2017","catch","1976","Outside",NA,NA,2.14e-06
"EBS_ACLIM_72_BIO_catch_2017","catch","1977","Outside",NA,NA,2.14e-06
"EBS_ACLIM_72_BIO_catch_2017","catch","1978","Outside",NA,NA,2.14e-06
"EBS_ACLIM_72_BIO_catch_2017","catch","1979","Outside",NA,NA,2.14e-06
"EBS_ACLIM_72_BIO_catch_2017","catch","1980","Outside",NA,NA,2.14e-06
"EBS_ACLIM_72_BIO_catch_2017","catch","1981","Outside",NA,NA,2.14e-06
"EBS_ACLIM_72_BIO_catch_2017","catch","1982","Outside",NA,NA,2.14e-06
"EBS_ACLIM_72_BIO_catch_2017","catch","1983","Outside",NA,NA,2.14e-06
"EBS_ACLIM_72_BIO_catch_2017","catch","1984","Outside",NA,NA,2.14e-06
"EBS_ACLIM_72_BIO_catch_2017","catch","1985","Outside",NA,NA,2.14e-06
"EBS_ACLIM_72_BIO_catch_2017","catch","1986","Outside",NA,NA,2.14e-06
"EBS_ACLIM_72_BIO_catch_2017","catch","1987","Outside",NA,NA,2.14e-06
"EBS_ACLIM_72_BIO_catch_2017","catch","1988","Outside",NA,NA,2.14e-06
"EBS_ACLIM_72_BIO_catch_2017","catch","1989","Outside",NA,NA,2.14e-06
"EBS_ACLIM_72_BIO_catch_2017","catch","1990","Outside",NA,NA,2.14e-06
"EBS_ACLIM_72_BIO_catch_2017","catch","1991","Outside",NA,NA,2.14e-06
"EBS_ACLIM_72_BIO_catch_2017","catch","1992","Outside",NA,NA,2.14e-06
"EBS_ACLIM_72_BIO_catch_2017","catch","1993","Outside",NA,NA,2.14e-06
"EBS_ACLIM_72_BIO_catch_2017","catch","1994","Outside",NA,NA,2.14e-06
"EBS_ACLIM_72_BIO_catch_2017","catch","1995","Outside",NA,NA,2.14e-06
"EBS_ACLIM_72_BIO_catch_2017","catch","1996","Outside",NA,NA,2.14e-06
"EBS_ACLIM_72_BIO_catch_2017","catch","1997","Outside",NA,NA,2.14e-06
"EBS_ACLIM_72_BIO_catch_2017","catch","1998","Outside",NA,NA,2.14e-06
"EBS_ACLIM_72_BIO_catch_2017","catch","1999","Outside",NA,NA,2.14e-06
"EBS_ACLIM_72_BIO_catch_2017","catch","2000","Outside",NA,NA,2.14e-06
"EBS_ACLIM_72_BIO_catch_2017","catch","2001","Outside",NA,NA,2.14e-06
"EBS_ACLIM_72_BIO_catch_2017","catch","2002","Outside",NA,NA,2.14e-06
"EBS_ACLIM_72_BIO_catch_2017","catch","2003","Outside",NA,NA,2.14e-06
"EBS_ACLIM_72_BIO_catch_2017","catch","2004","Outside",NA,NA,2.14e-06
"EBS_ACLIM_72_BIO_catch_2017","catch","2005","Outside",NA,NA,2.14e-06
"EBS_ACLIM_72_BIO_catch_2017","catch","2006","Outside",NA,NA,2.14e-06
"EBS_ACLIM_72_BIO_catch_2017","catch","2007","Outside",NA,NA,2.14e-06
"EBS_ACLIM_72_BIO_catch_2017","catch","2008","Outside",NA,NA,2.14e-06
"EBS_ACLIM_72_BIO_catch_2017","catch","2009","Outside",NA,NA,2.14e-06
"EBS_ACLIM_72_BIO_catch_2017","catch","2010","Outside",NA,NA,2.14e-06
"EBS_ACLIM_72_BIO_catch_2017","catch","2011","Outside",NA,NA,2.14e-06
"EBS_ACLIM_72_BIO_catch_2017","catch","2012","Outside",NA,NA,2.14e-06
"EBS_ACLIM_72_BIO_catch_2017","catch","2013","Outside",NA,NA,2.14e-06
"EBS_ACLIM_72_BIO_catch_2017","catch","2014","Outside",NA,NA,2.14e-06
"EBS_ACLIM_72_BIO_catch_2017","catch","2015","Outside",NA,NA,2.14e-06
"EBS_ACLIM_72_BIO_catch_2017","catch","2016","Outside",NA,NA,2.14e-06
"EBS_ACLIM_72_BIO_catch_2017","catch","2017","Outside",NA,NA,2.14e-06
"EBS_ACLIM_72_BIO_catch_2017","catch","1971","Transient.killer.whales",NA,NA,2.14e-06
"EBS_ACLIM_72_BIO_catch_2017","catch","1972","Transient.killer.whales",NA,NA,2.14e-06
"EBS_ACLIM_72_BIO_catch_2017","catch","1973","Transient.killer.whales",NA,NA,2.14e-06
"EBS_ACLIM_72_BIO_catch_2017","catch","1974","Transient.killer.whales",NA,NA,2.14e-06
"EBS_ACLIM_72_BIO_catch_2017","catch","1975","Transient.killer.whales",NA,NA,2.14e-06
"EBS_ACLIM_72_BIO_catch_2017","catch","1976","Transient.killer.whales",NA,NA,2.14e-06
"EBS_ACLIM_72_BIO_catch_2017","catch","1977","Transient.killer.whales",NA,NA,2.14e-06
"EBS_ACLIM_72_BIO_catch_2017","catch","1978","Transient.killer.whales",NA,NA,2.14e-06
"EBS_ACLIM_72_BIO_catch_2017","catch","1979","Transient.killer.whales",NA,NA,2.14e-06
"EBS_ACLIM_72_BIO_catch_2017","catch","1980","Transient.killer.whales",NA,NA,2.14e-06
"EBS_ACLIM_72_BIO_catch_2017","catch","1981","Transient.killer.whales",NA,NA,2.14e-06
"EBS_ACLIM_72_BIO_catch_2017","catch","1982","Transient.killer.whales",NA,NA,2.14e-06
"EBS_ACLIM_72_BIO_catch_2017","catch","1983","Transient.killer.whales",NA,NA,2.14e-06
"EBS_ACLIM_72_BIO_catch_2017","catch","1984","Transient.killer.whales",NA,NA,2.14e-06
